comment1,comment2,No.,Ticker,MarketCap,P/E,FwdP/E,PEG,P/S,P/B,P/C,P/FCF,EPSthisY,EPSnextY,EPSpast5Y,EPSnext5Y,Salespast5Y,Price,Change,Volume
2,,46,INT,1.78B,33.52,15.88,6.7,0.07,0.95,2.24,6.47,-36.30%,35.96%,-7.00%,5.00%,-7.70%,28.83,-1.44%,"417,544"
1,,48,EGO,1.76B,24.46,19.9,4.89,1.8,0.52,3.81,23.48,19.60%,-15.28%,15.50%,5.00%,16.50%,10.37,3.39%,"3,675,837"
2,,50,TARO,1.72B,1113.41,10.4,-,3.04,1.01,2.18,-,-259.30%,158.24%,-22.90%,-12.95%,-10.40%,45.65,-0.50%,"10,530"
2,,55,CLS,1.51B,16.56,6.74,0.88,0.27,1.02,3.16,9.81,-12.00%,11.68%,2.10%,18.75%,0.40%,11.99,0.00%,"554,537"
1,,56,SCHL,1.42B,40.46,-,4.45,0.97,1.19,4.73,10.77,74.70%,-,-17.70%,9.10%,-4.90%,41.71,1.41%,"139,476"
watch,value 1.2,57,GIII,1.36B,8.22,7.7,-,0.53,0.91,4.87,7.99,-83.60%,-3.25%,-27.80%,-,-2.60%,27.73,-0.75%,"435,230"
2,,59,STRA,1.29B,32.95,11.54,5.49,1.14,0.76,4.64,31.65,2.80%,0.65%,0.30%,6.00%,18.80%,53.68,-0.90%,"206,739"
1,,60,IAG,1.29B,-,-,-,1.07,0.57,1.72,9.23,110.10%,200.00%,15.30%,3.98%,6.30%,2.95,2.43%,"10,468,366"
watch,value 1.03,66,NHC,994.61M,6.65,-,-,0.95,1.11,3.9,231.3,-38.70%,-,-3.10%,-,2.50%,64.88,-0.11%,"37,052"
1,,70,BHE,875.08M,24.5,13.63,1.11,0.39,0.9,3.03,9.99,-36.80%,13.84%,-26.90%,22.00%,-4.20%,24.43,1.50%,"166,455"
bought,"value 1200, 1st 850",71,HOLI,865.84M,12.31,6.79,0.78,1.54,0.78,1.35,9.39,-36.10%,22.40%,-4.00%,15.83%,-1.10%,14.12,-0.56%,"363,313"
1,,74,DRQ,803.42M,-,-,-,2.42,0.88,2.14,108.57,-704.00%,82.10%,-16.80%,-,-15.40%,24.42,-1.29%,"254,869"
watch,bv 620,75,NTGR,761.91M,16.79,12.78,-,0.65,1.12,2.61,8.83,135.80%,35.57%,5.80%,-,-0.70%,26.3,0.88%,"231,366"
1,,78,VHI,730.68M,7.65,4.48,0.3,0.34,0.97,1.31,3.28,3.50%,51.32%,19.70%,25.50%,4.40%,25.62,-1.08%,"9,346"
1,,79,SOHU,722.23M,5.79,-,1.12,1.13,0.56,0.46,-,65.10%,-,-1.60%,5.17%,-17.30%,18.11,-1.68%,"166,699"
1,,80,PRDO,717.83M,6.55,6.12,0.44,1.02,1.12,1.51,4.04,78.20%,3.70%,17.60%,15.00%,-4.10%,10.29,0.88%,"617,884"
1,,81,GEVO,707.77M,-,-,-,589.81,1.2,2.35,-,70.00%,0.00%,-,25.00%,-28.70%,3.38,-2.87%,"5,682,394"
2,and 1,85,MTW,617.89M,37.07,12.31,-,0.37,0.92,2.78,8.75,-142.10%,119.49%,23.20%,-,-5.00%,17.05,-1.04%,"155,389"
bad business,negative free cash flow,88,TPC,576.57M,5.82,5.41,0.58,0.12,0.35,3.08,-,127.50%,19.32%,18.40%,10.00%,1.60%,11.12,-0.18%,"344,110"
1,,89,TA,575.06M,14.68,14.12,2.94,0.09,0.81,0.93,3.31,-131.70%,-17.49%,-18.80%,5.00%,-3.60%,39.04,-4.15%,"226,944"
1,,91,HLX,555.77M,-,-,-,0.83,0.35,2.34,3.63,-79.00%,-32.70%,15.10%,-,1.10%,3.91,-1.51%,"1,365,442"
1,,92,TDW,553.08M,-,-,-,1.55,0.8,4.34,-,-31.10%,14.80%,46.10%,5.00%,-16.50%,14.24,-4.11%,"221,091"
1,,93,MESO,529.58M,-,81.25,-,54.6,0.9,4.59,-,-10.80%,169.60%,-,48.80%,-29.40%,3.9,-3.47%,"50,385"
1,,96,IDEX,514.57M,-,-,-,5.2,0.9,1.63,-,44.00%,43.80%,-6.40%,-,42.20%,1.0,-2.45%,"5,213,339"
bad business,bad accounting,98,CO,509.34M,6.4,-,0.21,2.65,0.7,0.51,4.72,8.00%,-,27.40%,30.00%,11.80%,4.19,3.71%,"156,318"
1,,101,EHTH,418.49M,-,-,-,0.71,0.53,1.84,-,-38.30%,82.30%,52.90%,-,25.20%,15.29,-3.35%,"774,636"
1,,102,SOL,406.82M,36.11,17.34,2.41,5.56,0.94,1.48,-,125.70%,81.67%,17.30%,15.00%,-43.50%,5.67,1.25%,"572,450"
1,,104,WPRT,380.50M,14.95,-,0.5,0.95,0.92,2.0,-,360.00%,-53.80%,48.90%,30.00%,19.60%,1.6,0.00%,"2,372,980"
2,,106,FANH,363.04M,7.84,5.52,-,0.69,1.2,1.65,121.01,44.50%,32.01%,12.30%,-,5.90%,6.62,1.38%,"51,242"
1,,108,EZPW,351.68M,23.16,7.33,0.66,0.46,0.53,1.51,10.16,112.40%,30.77%,53.00%,35.00%,0.00%,6.23,-2.04%,"203,481"
2,,110,APEI,326.28M,17.74,10.22,1.18,0.93,0.8,2.31,-,103.10%,98.36%,-8.30%,15.00%,-0.40%,17.3,-1.68%,"87,440"
watch,"value 350, 1st 245",111,VLGEA,326.10M,16.34,-,-,0.16,0.64,3.1,21.04,-20.30%,-,-9.90%,-,4.40%,22.49,0.90%,"25,233"
1,,112,MIC,318.40M,-,-,-,0.81,1.03,0.09,-,-829.40%,-200.00%,-11.20%,-3.80%,-12.40%,3.61,-1.37%,"1,837,884"
1,,116,UEPS,284.89M,-,-,-,2.19,1.06,1.56,86.33,60.70%,-,-19.10%,15.00%,-26.00%,4.85,-1.42%,"542,705"
2,and 1,117,NL,275.60M,6.75,6.46,-,2.02,0.8,1.94,41.14,-43.20%,-4.40%,21.20%,-,1.00%,5.62,-10.37%,"81,050"
2,,120,VRA,268.38M,12.98,10.1,0.8,0.5,0.8,3.56,7.96,-62.90%,14.99%,-24.50%,16.30%,-1.40%,7.75,-1.15%,"200,738"
2,and 1,123,POWL,260.60M,-,31.34,-,0.55,0.91,2.57,-,-96.20%,210.64%,-47.60%,10.00%,-3.60%,22.88,-0.95%,"116,651"
watch,adj bv 210,124,HOFT,255.73M,10.5,8.05,0.62,0.42,0.94,4.47,-,-161.60%,85.92%,-21.00%,17.00%,16.90%,21.24,-1.89%,"117,275"
1,,125,KNDI,251.49M,21.33,-,-,2.65,0.55,1.34,-,-35.20%,-260.70%,-21.00%,-,-17.50%,3.2,0.00%,"567,251"
1,,127,ACTG,218.32M,-,18.48,-,7.48,0.93,0.34,-,549.20%,114.60%,20.00%,20.00%,-24.90%,4.25,2.41%,"214,461"
